tradition,entry_type,patterns,origin,region,era,style_keys,sensitivity,issues,action
Batik Tulis,textile_tradition,106,"Java, Indonesia — highest form of hand-drawn batik",Southeast Asia,Refined in Javanese royal courts from 17th century,batik-tulis,general,,"SOURCE (add citations, then review)"
East Asian Geometric Tradition,textile_tradition,106,"China, Japan, Korea",East Asia,"Ancient, 3,000+ years of documented practice",asian,general,,"SOURCE (add citations, then review)"
Ethiopian (Habesha / Tibeb),textile_tradition,106,Ethiopia and Eritrea,Horn of Africa,An ancient handweaving tradition; the *tibeb* border style long established,ethiopian,general,,"SOURCE (add citations, then review)"
Hawaiian Quilt,textile_tradition,106,"Native Hawaiian tradition, developed from missionary-introduced quilting","Hawaii, Pacific","Early 19th century, continuous evolution",hawaiian,general,,"SOURCE (add citations, then review)"
Heritage Pattern,textile_tradition,106,CultureSchool original — drawing from multiple traditions,Global diaspora,Contemporary,heritage,general,,"SOURCE (add citations, then review)"
Kanga,textile_tradition,106,"East African coast — Kenya, Tanzania, Zanzibar",East Africa,"Mid-19th century, Zanzibar",kanga,general,,"SOURCE (add citations, then review)"
Kuba Cloth,textile_tradition,106,"Kuba Kingdom, Democratic Republic of Congo",Central Africa,Pre-colonial — Kuba Kingdom established circa 1600 CE,kuba,general,,"SOURCE (add citations, then review)"
Mehndi,textile_tradition,106,"South Asia, the Middle East, and North Africa",South Asia / MENA,Ancient — henna adornment documented across several thousand years,mehndi,general,,"SOURCE (add citations, then review)"
Mizrahi,textile_tradition,106,"Mizrahi Jewish communities of the Middle East, North Africa, and Central Asia",MENA / West Asia,Centuries-old and community-specific; much of it displaced in the mid-20th century,mizrahi,general,,"SOURCE (add citations, then review)"
Mudcloth,textile_tradition,106,"Bamana people, Mali",West Africa,Pre-colonial — documented from at least 12th century,mudcloth,general,,"SOURCE (add citations, then review)"
Navajo / Diné,textile_tradition,106,"Diné (Navajo) people, U.S. Southwest",North America,Weaving developed from roughly the 17th century (with Pueblo influence); classic rug styles in the 19th–20th,navajo,context_required,,"SOURCE (add citations, then review)"
Paisley,textile_tradition,106,"Kashmir, India — via Persia, adopted worldwide","South Asia, global","Mughal period, 15th century — named for Scottish town in 19th century",paisley,general,,"SOURCE (add citations, then review)"
Persian,textile_tradition,106,Iran (Persia),West / Central Asia,Ancient — a carpet and garden-design tradition traced back more than two millennia,persian,general,,"SOURCE (add citations, then review)"
Phulkari,textile_tradition,106,Punjab (present-day India and Pakistan),South Asia,Associated with Punjabi life-cycle textiles; documented across recent centuries,phulkari,general,,"SOURCE (add citations, then review)"
Runes,textile_tradition,106,Germanic and Norse peoples of Northern Europe,Northern Europe / Scandinavia,"Elder Futhark from roughly the 2nd century CE, through the Viking Age",runes,general,,"SOURCE (add citations, then review)"
Shibori,textile_tradition,106,Japan,East Asia,8th century CE — formalized in Edo period (17th–19th century),shibori,general,,"SOURCE (add citations, then review)"
Suzani,textile_tradition,106,"Uzbekistan, Tajikistan, Kazakhstan — the Silk Road cities",Central Asia,Pre-Islamic roots — documented form from 15th century Timurid period,suzani,general,,"SOURCE (add citations, then review)"
Talavera,textile_tradition,106,"Puebla, Mexico (rooted in Talavera de la Reina, Spain)",Mexico / Iberia,Developed in colonial Puebla from the 16th century; today protected by a denomination of origin,talavera,general,,"SOURCE (add citations, then review)"
Tartan,textile_tradition,106,"Scottish Highlands, Scotland",Northern Europe,16th century documented — clan associations formalized in 19th century,tartan,general,,"SOURCE (add citations, then review)"
Tropical Frond,textile_tradition,106,"Caribbean, Pacific Islands, West Africa",Tropical regions globally,Pre-colonial through present,frond,general,,"SOURCE (add citations, then review)"
Tropical Print Tradition,textile_tradition,106,"Hawaii, Caribbean, West Africa — converging in mid-20th century",Tropical regions globally,Modern form: 1930s–1950s,tropical,general,,"SOURCE (add citations, then review)"
Wildflower Print,textile_tradition,106,"European botanical illustration tradition, Arts & Crafts movement","Europe, global","William Morris Arts & Crafts movement, 1860s–1900s",wildflower,general,,"SOURCE (add citations, then review)"
Zellige,textile_tradition,106,Morocco — Fes is the spiritual center,"North Africa, Andalusia",10th century CE — peak sophistication in Marinid period 13th–15th century,zellige,general,,"SOURCE (add citations, then review)"
Çintamani,textile_tradition,106,"Ottoman Empire, originally from Buddhist art via Silk Road","Central Asia, Ottoman Turkey",Buddhist origins ancient — Ottoman textile use from 15th century,cintemani,general,,"SOURCE (add citations, then review)"
Andean Textile Tradition,textile_tradition,212,"Quechua, Aymara, and indigenous Andean peoples, Peru, Bolivia, Ecuador",South America,"Pre-Columbian, over 5,000 years of continuous practice",andean|inca,context_required,MULTI-ORIGIN — split into region/community-specific entries,SPLIT + SOURCE
Ikat,textile_tradition,212,"Central Asia (Uzbekistan), Southeast Asia (Indonesia), India, Central America",Global — one of the most widespread textile traditions,"Ancient — documented from 7th century CE, likely much older",ikat|ikat_diamond,general,MULTI-ORIGIN — split into region/community-specific entries,SPLIT + SOURCE
Tapa / Siapo — Pacific Bark Cloth,textile_tradition,212,"Across Oceania — including Fijian *masi*, Tongan *ngatu*, Samoan *siapo*, and Hawaiian *kapa*",Pacific Islands / Polynesia,Ancient and continuous,siapo|tapa,general,MULTI-ORIGIN — split into region/community-specific entries,SPLIT + SOURCE
Bargello,textile_tradition,106,"Florence, Italy — European counted-thread needlework (named for the Bargello palace)",Europe / Mediterranean,"The ""flame stitch"" is documented from the Renaissance; the name attaches to 17th-century chairs in the Bargello",brazilian,general,"MISNOMER: style key ""brazilian"" should be Bargello (Florentine needlework, Italy)",SPLIT + SOURCE
Celtic / Gaelic Knotwork,textile_tradition,106,"Celtic peoples of Ireland, Scotland, Wales, and the wider Gaelic world",Northern / Western Europe,"Flourished in early-medieval insular art (Book of Kells, ~800 CE); roots older",celtic,general,MULTI-ORIGIN — split into region/community-specific entries,SPLIT + SOURCE
Floral Pattern Traditions,textile_tradition,106,"Persia, Ottoman Empire, India, China, Europe",Global,Ancient — Persian garden carpet tradition from 500 BCE,floral,general,MULTI-ORIGIN — split into region/community-specific entries,SPLIT + SOURCE
Greek Key,textile_tradition,106,"Ancient Greece, also appears in Aztec, Chinese, and African traditions",Mediterranean and global,"Ancient — Greek pottery from 700 BCE, continuous use",greek-key,general,MULTI-ORIGIN — split into region/community-specific entries,SPLIT + SOURCE
Hamsa,textile_tradition,106,"Middle East and North Africa; shared across Jewish, Muslim, and other communities",MENA / Mediterranean,"Ancient roots, widespread through the medieval period",hamsa,context_required,MULTI-ORIGIN — split into region/community-specific entries,SPLIT + SOURCE
Hmong (Paj Ntaub),textile_tradition,106,"Hmong people — southern China and Southeast Asia (Vietnam, Laos, Thailand), and the diaspora",East / Southeast Asia,Ancient; batik and story-cloth traditions carried through 20th-century displacement,hmong,general,MULTI-ORIGIN — split into region/community-specific entries,SPLIT + SOURCE
Madras,textile_tradition,106,"Madras (now Chennai), Tamil Nadu, India — and made wholly its own across the Caribbean",South Asia → the Caribbean,Handloom cotton traded for centuries; central to Caribbean folk and Carnival dress into the modern day,caribbeancarnival,general,"MISNOMER: style key ""caribbeancarnival"" should be Madras (South India)",SPLIT + SOURCE
Otomi (Tenango),textile_tradition,106,"Otomí people, Tenango de Doria, Hidalgo, Mexico",Central Mexico / Mesoamerica,"The embroidered ""Tenango"" style spread from the 1960s–70s, drawing on far older Otomí cosmology and rock-painting imagery",otomi,general,MULTI-ORIGIN — split into region/community-specific entries,SPLIT + SOURCE
T'nalak,textile_tradition,106,"T'boli people, Lake Sebu, South Cotabato, Mindanao, Philippines",Southeast Asia,Ancient and living,philippine,general,"MULTI-ORIGIN — split into region/community-specific entries ; MISNOMER: style key ""philippine"" should be T'nalak (T'boli people, Mindanao)",SPLIT + SOURCE
